First_name,Middle_name,Last_name,Suffix,Job_title,Confirmed,Year_started,Year_ended,Administration(s)_appointee,Party_affiliation,Employer,FTC_seat,Education,Previous_position,Type_of_prev_position,Following_position,Type_of_following_position,Source,Source2,Source3,Notes
Edward,N.,Hurley,,Chair/commissioner,,1915,1917,,D,FTC,4,None,"President of Hurley Machine Company; previously: president of National Bank of Wheaton, additional private corporations",Industry,"Chairman of US Shipping Board (government position), member of US World War debt funding commission, involved with Dem and Rep party conventions, involved with 1933 Chicago World Fair",Government,Wiki,NYT obit,,
William,J.,Harris,,Chair/commissioner,,1915,1918,,D,FTC,3,Undergrad,"Director of US Census Bureau; previously: state senator (GA), secretary of Sen Clay, insurance business, banking",Government,"Senator of Georgia, died",Government,Wiki,Congress bio,,
Will,H.,Parry,,Commissioner,,1915,1917,,Progressive,FTC,2,Undergrad,"Manager of Alaska-Yukon Exposition of Seattle; previously: shipping executive, Seattle Alderman/comptroller, journalist",Industry,Died,Died,NYT obit,,,
George,,Rublee,,Commissioner,,1915,1916,,Progressive,FTC,1,Law,"Antitrust reform advisor to Wilson; previously: political advisor on economic matters for Theodore Roosevelt and Robert La Follette, assistant to lawyer for Wall Street corporation (?)",Government,"US rep to Allied Maritime Transportation Council, partner at law firm (Covington & Burling), advisor to US ambassador in Mexico",Government,Wiki,,,
Joseph,E.,Davis,,Chair/commissioner,,1916,1918,,D,FTC,5,Law,"Head of Bureau of Corporations (FTC predecessor); previously: high-level campaign staff on Wilson's campaign, private practice, chairman of WI Democratic Party",Government,"Unsuccessfully ran for Senate, economic advisor to US during Paris Peace conference, law firm (defended Ford in famous case against IRS), Ambassador to USSR, additional political/diplomatic appointments",Government,Wiki,,,Bureau of Corporations job was a reward for helping Wilson to win the election
William,B.,Colver,,Chair/commissioner,,1917,1920,,D,FTC,4,Law,"Member of US gov WWI price fixing board; previously: journalist/editor, local law practice",Government,Newspaper editor,Journalist,NYT obit,Wiki,,Wife received obituary in NYT on the basis of her association with him
Victor,,Murdock,,Chair(x2)/commissioner,,1917,1924,,Progressive,FTC,2,Primary,"War correspondent; previously: chairman of National Committee of the Progressive Party, House member from KS, clerk at KS appellate court, newspaper editor, journalist",Journalist,Newspaper editor,Journalist,Wiki,House bios,,
John,Franklin,Fort,,Chair/commissioner,,1917,1919,,R,FTC,1,LLB,"US Special Envoy to Santo Domingo/Haiti/Dominican Republic; previously: governor of NJ, state judge (State Supreme Court, District Court in Newark)",Government,Died,Died,Wiki,"See ""Documents"" folder",,
Huston,,Thompson,,Chair(x2)/commissioner,,1919,1926,,D,FTC,3,Law,"US AAG of DOJ; previously: AAG of Colorado, law practice",Government,"Unclear, special counsel to FDR",Unclear,Wiki,,,"NYT: ""Old friend of Wilson's"""
John,Garland,Pollard,,Commissioner,,1920,1921,,D,FTC,5,LLB,"volunteered with YMCA in Europe during WWI; previously: unsuccessfully ran for VA governor, VA AG, law practice, various state/local Democratic political organizations",Government,"Dean (William and Mary), VA governor",Academia,Wiki,,,Secured job from Wilson after period of unemployment due to VA governor race
