First_name,Middle_name,Last_name,Suffix,Job_title,Confirmed,Year_started,Year_ended,Administration_appointee,Party_affiliation,Employer,FTC_seat,Education,Education_law,Education_LLB,Education_JD,Education_econ,Education_Phd,Education_other,Previous_position,Type_of_previous_position ,Generalized_previous_experience,Prev_exp_pol,Prev_exp_civil,Prev_exp_elect,Prev_exp_law_firm,Prev_exp_private_practice,Prev_exp_industry,Prev_exp_academia,Prev_exp_unclear,Following_position,Type_of_following_position,Generalized_following_experience,Follow_exp_pol,Follow_exp_civil,Follow_exp_elect,Follow_exp_law_firm,Follow_exp_private_practice,Follow_exp_academia,Follow_exp_industry,Follow_exp_unclear,Follow_exp_died_or_retired,Following_law_firms,Birth_year,Appointment_age,Appointment_age_rounded,Source,Source2,Source3,Notes
Donald,F.,Turner,,AAG antitrust,,1965,1968,LBJ,NA,DOJ,NA,"JD, PhD",1,,1,,1,,Professor (Harvard Law),Academia,Academia,,,,,,,1,,Professor (Harvard Law),Academia,Academia,,,,,,1,,,,,1921,44,40,link,,,
William,,Baxter,,AAG antitrust,,1981,1983,Reagan,NA,DOJ,NA,LLB,1,1,,,,,Professor (Stanford Law); Citibank consultant,Academia,Academia,,,,,,,1,,Professor (Stanford Law),Academia,Academia,,,,,,1,,,,,1928,53,50,NYT,,,
Dennis,A,Yao,,Commissioner,,1991,1994,,D,FTC,3,"PhD, MBA, BSE",,,,,1,1,Professor (UPenn Business); previously: analyst at Ford motor company,Academia,"Academia, industry",,,,,,1,1,,"Professor (UPenn Business), professor (Harvard Business)",Academia,Academia,,,,,,1,,,,,1953,38,40,"See ""Documents"" folder",,,
Thomas,E.,Kauper,,AAG antitrust,,1972,1976,Nixon,NA,DOJ,NA,JD,1,,1,,,,"Deputy AAG in Office of Legal Counsel; previously: professor (University of Michigan Law), private practice, SCOTUS clerk",Government,"Academia, political",1,,,,,,1,,Professor (University of Michigan Law),Academia,Academia,,,,,,1,,,,,1935,37,40,Wiki,,,
William,E.,Kovacic,,Chair/commissioner,,2006,2011,,R,FTC,4,JD,1,,1,,,,"Professor (George Mason and GW Law); previously: FTC general counsel, law firm associate (Bryan Cave), FTC staff attorney (bureau of Competition), law clerk for district court judge",Academia,"Academia, political, law firm",1,,,1,,,1,,Professor (GW law),Academia,Academia,,,,,,1,,,,,1952,54,50,Wiki,"See ""Documents"" folder",San Jose Mercury News,
Makan,,Delrahim,,AAG antitrust,Yes,2017,2021,Trump,NA,DOJ,NA,"JD,  MS in biotech",1,,1,1,,1,"Law firm ( Brownstein Hyatt Farber Schreck) with Apple and Google as clients; previously: in and out of government earlier in his career (NIH, Senate Judiciary Committee, DOJ under Bush)",Law firm,"Law firm, political",1,,,1,,,,,Adjunct lecturer at Penn,Academia,Academia,,,,,,1,,,,,1969,48,50,link,,,
Michael,,Pertschuk,,Chair/commissioner,,1977,1984,,D,FTC,5,JD,1,,1,,,,"Chief counsel/staff director of Senate Commerce; previously: legislative assistant for OR Senator, law firm (Hart, Rockwood, Davies, Biggs & Strayer), law clerk for district court judge",Government,Political,1,,,,,,,,"scholar in-residence at Wilson Center, founder/co-director of Advocacy Institute",Academia,Academia,,,,,,1,,,,,1933,44,40,Wiki,NYT,NYT1,"Controversial figure, fought with Congress about role of FTC, quoted in NYT: ""The current FTC leadership [Chairman Miller] has been consumed with single-minded determination to undo the past... the very foundation of antitrust""; NYT1 notes lack of staff available "
John,Garland,Pollard,,Commissioner,,1920,1921,,D,FTC,5,LLB,1,1,,,,,"volunteered with YMCA in Europe during WWI; previously: unsuccessfully ran for VA governor, VA AG, law practice, various state/local Democratic political organizations",Government,Political,1,,,,,,,,"Dean (William and Mary), VA governor",Academia,"Academia, electoral",,,1,,,1,,,,,1871,49,50,Wiki,,,Secured job from Wilson after period of unemployment due to VA governor race
Daniel,,Oliver,,Chair,,1986,1989,,R,FTC,2,LLB,1,1,,,,,"Reagan admin General Counsel of the Department of Agriculture; previously: General Counsel at the Department of Education, director of American Conservative Union, law firm (Hawkins, Delafield & Wood, Alexander & Green)",Government,"Political, law firm",1,,,1,,,,,"Fellow at Heritage Foundation, other think-tanks, chairman of private company",Academia,"Academia, industry",,,,,,1,1,,,,1939,47,50,Wiki,Independent Institute,Prabook,
Joshua,D.,Wright,,Commissioner,,2013,2015,,R,FTC,5,"JD, PhD/BA (economics)",1,,1,1,1,,"Professor (George Mason Law); previously: scholar-in-residence at FTC, clerked for federal judge",Academia,Academia,,,,,,,1,,"Professor (George Mason law) specializing in antitrust, also law firm (Wilson Sonsini Goodrich and Rosati)",Academia,"Academia, law firm",,,,1,,1,,,,Wilson Sonsini Goodrich and Rosati,1977,36,40,Wiki,FTC bio,,Accepted Google funding for academic research
