DATE,J4069C0A144NBEA
1948-01-01,228
1949-01-01,244
1950-01-01,276
1951-01-01,307
1952-01-01,342
1953-01-01,382
1954-01-01,412
1955-01-01,450
1956-01-01,495
1957-01-01,532
1958-01-01,575
1959-01-01,632
1960-01-01,695
1961-01-01,743
1962-01-01,810
1963-01-01,877
1964-01-01,962
1965-01-01,1042
1966-01-01,1151
1967-01-01,1260
1968-01-01,1442
1969-01-01,1664
1970-01-01,1979
1971-01-01,2299
1972-01-01,2740
1973-01-01,3393
1974-01-01,4008
1975-01-01,4752
1976-01-01,5508
1977-01-01,6410
1978-01-01,7256
1979-01-01,8611
1980-01-01,10342
1981-01-01,12444
1982-01-01,15088
1983-01-01,17698
1984-01-01,20479
1985-01-01,23615
1986-01-01,27337
1987-01-01,32850
