usCite,caseName,dateDecision,majOpinWriter,majVotes,minVotes,vote_JHarlan2,vote_HLBlack,vote_WODouglas,vote_PStewart,vote_TMarshall,vote_WJBrennan,vote_BRWhite,vote_WEBurger,vote_HABlackmun,vote_LFPowell,vote_WHRehnquist,vote_JPStevens,vote_SDOConnor,vote_AScalia,vote_AMKennedy,vote_DHSouter,vote_CThomas,vote_RBGinsburg,vote_SGBreyer,vote_JGRoberts,vote_SAAlito,vote_SSotomayor,vote_EKagan
399 U.S. 222,PERKINS v. STANDARD OIL CO. OF CALIFORNIA,6/23/1970,NA,8,0,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401 U.S. 302,"RAMSEY et al., DBA LEON NUNLEY COAL CO., et al. v. UNITED MINE WORKERS OF AMERICA",2/24/1971,95,5,4,2,2,2,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401 U.S. 321,"ZENITH RADIO CORP. v. HAZELTINE RESEARCH, INC.",2/24/1971,95,9,0,4,1,1,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401 U.S. 486,"UNITED MINE WORKERS OF AMERICA v. RAILING et al., DBA C & P COAL CO.",3/22/1971,NA,7,2,7,1,1,1,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402 U.S. 549,"UNITED STATES v. GREATER BUFFALO PRESS, INC., et al.",6/1/1971,81,9,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405 U.S. 562,FORD MOTOR CO. v. UNITED STATES et al.,3/29/1972,81,5,2,NA,NA,1,4,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405 U.S. 596,"UNITED STATES v. TOPCO ASSOCIATES, INC.",3/29/1972,98,6,1,NA,NA,1,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407 U.S. 258,FLOOD v. KUHN et al.,6/19/1972,100,5,3,NA,NA,2,1,2,2,1,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409 U.S. 289,RICCI v. CHICAGO MERCANTILE EXCHANGE et al.,1/9/1973,95,5,4,NA,NA,2,2,2,1,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409 U.S. 363,"HUGHES TOOL CO. et al. v. TRANS WORLD AIRLINES, INC.",1/10/1973,81,6,2,NA,NA,1,1,NA,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410 U.S. 366,OTTER TAIL POWER CO. v. UNITED STATES,2/22/1973,81,4,3,NA,NA,1,2,1,1,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410 U.S. 526,UNITED STATES v. FALSTAFF BREWING CORP. et al.,2/28/1973,95,5,2,NA,NA,3,2,4,NA,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415 U.S. 486,UNITED STATES v. GENERAL DYNAMICS CORP. et al.,3/19/1974,94,5,4,NA,NA,2,1,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418 U.S. 602,"UNITED STATES v. MARINE BANCORPORATION, INC., et al.",6/26/1974,101,5,3,NA,NA,NA,1,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419 U.S. 186,"GULF OIL CORP. et al. v. COPP PAVING CO., INC., et al.",12/16/1974,101,7,2,NA,NA,2,1,3,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421 U.S. 616,"CONNELL CONSTRUCTION CO., INC. v. PLUMBERS & STEAMFITTERS LOCAL UNION NO. 100, UNITED ASSOCIATION OF JOURNEYMEN & APPRENTICES OF THE PLUMBING & PIPEFITTING INDUSTRY OF THE UNITED STATES AND CANADA, AFL-CIO",6/2/1975,101,5,4,NA,NA,2,2,2,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421 U.S. 773,GOLDFARB et ux. v. VIRGINIA STATE BAR et al.,6/16/1975,99,8,0,NA,NA,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422 U.S. 271,UNITED STATES v. AMERICAN BUILDING MAINTENANCE INDUSTRIES,6/24/1975,94,6,3,NA,NA,2,1,1,2,4,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
