"","Type","KeyCite.Treatment","KeyCite.URL","Title","Document.URL","Court.Line","Filed.Date","Citation","Cite.Caveat","Parallel.Cite","Docket.Num","X","year"
"1","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I221507039bf011d993e6d35cc61aab4a&rank=24&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","U.S. v. Continental Can Co.","https://www.westlaw.com/Document/I221507039bf011d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=24&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","June 22, 1964","378 U.S. 441",NA,"84 S.Ct. 1738","367",NA,1964
"2","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I0a46aad49bf011d991d0cc6b54f12d4d&rank=26&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","U.S. v. W. T. Grant Co.","https://www.westlaw.com/Document/I0a46aad49bf011d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=26&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","May 25, 1953","345 U.S. 629",NA,"73 S.Ct. 894","532",NA,1953
"3","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I64d8452a9c1d11d9bc61beebb95be672&rank=30&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","California v. Federal Power Commission","https://www.westlaw.com/Document/I64d8452a9c1d11d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CASE&rank=30&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","April 30, 1962","369 U.S. 482",NA,"82 S.Ct. 901","187",NA,1962
"4","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ibdd3aef39c2511d9bc61beebb95be672&rank=33&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Klehr v. A.O. Smith Corp.","https://www.westlaw.com/Document/Ibdd3aef39c2511d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CASE&rank=33&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","June 19, 1997","521 U.S. 179",NA,"117 S.Ct. 1984","96-663",NA,1997
"5","Cases","","","F.T.C. v. Procter & Gamble Co.","https://www.westlaw.com/Document/Icea1adb99c9611d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=40&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","April 11, 1967","386 U.S. 568",NA,"87 S.Ct. 1224","342",NA,1967
"6","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I2368c14b9c1e11d9bdd1cfdd544ca3a4&rank=41&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","U. S. v. Phillipsburg Nat. Bank & Trust Co.","https://www.westlaw.com/Document/I2368c14b9c1e11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CASE&rank=41&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","June 29, 1970","399 U.S. 350",NA,"90 S.Ct. 2035","1093",NA,1970
"7","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I2351ddec9c1e11d9bdd1cfdd544ca3a4&rank=42&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Agency Holding Corp. v. Malley-Duff & Associates, Inc.","https://www.westlaw.com/Document/I2351ddec9c1e11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CASE&rank=42&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","June 22, 1987","483 U.S. 143",NA,"107 S.Ct. 2759","86-497, 86-531",NA,1987
"8","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I1d26d82b9c9711d993e6d35cc61aab4a&rank=48&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","F.T.C. v. Consolidated Foods Corp.","https://www.westlaw.com/Document/I1d26d82b9c9711d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=48&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","April 28, 1965","380 U.S. 592",NA,"85 S.Ct. 1220","422",NA,1965
"9","Cases","","","Sedima, S.P.R.L. v. Imrex Co., Inc.","https://www.westlaw.com/Document/Ie2c2a15f9bf111d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CASE&rank=54&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","July 01, 1985","473 U.S. 479",NA,"105 S.Ct. 3292 (Mem)","84-648, 84-822",NA,1985
"10","Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ic1e348109c1e11d991d0cc6b54f12d4d&rank=55&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Shearson/American Exp., Inc. v. McMahon","https://www.westlaw.com/Document/Ic1e348109c1e11d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=55&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Supreme Court of the United States","June 08, 1987","482 U.S. 220",NA,"107 S.Ct. 2332","86-44",NA,1987
