usCite,term,chief,caseName,majOpinWriter,majVotes,minVotes,vote_HHBurton,vote_RHJackson,vote_WODouglas,vote_FFrankfurter,vote_SFReed,vote_HLBlack,vote_WBRutledge,vote_FMurphy,vote_FMVinson,vote_TCClark,vote_SMinton,vote_EWarren,vote_JHarlan2,vote_WJBrennan,vote_CEWhittaker,vote_PStewart,vote_BRWhite,vote_AJGoldberg,vote_AFortas,vote_TMarshall,vote_WEBurger,vote_HABlackmun,vote_LFPowell,vote_WHRehnquist,vote_JPStevens,vote_SDOConnor,vote_AScalia,vote_AMKennedy,vote_DHSouter,vote_CThomas,vote_RBGinsburg,vote_SGBreyer,vote_JGRoberts,vote_SAAlito,vote_SSotomayor,vote_EKagan,vote_NMGorsuch,vote_BMKavanaugh,vote_ACBarrett,dateDecision,Filed Date,Year,BG_include,Westlaw_search,Include?,decisionFavored_BG,sgFavoredOrRep,party1,party2,partyDecisionFavored,partySGFavored,lawEconCitation,Notes
396 U.S. 491,1969,Burger,UNITED STATES v. INTERSTATE COMMERCE COMMISSION et al.,99,7,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970/02/02 00:00:00,1970,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
397 U.S. 1,1969,Burger,UNITED STATES v. KORDEL et al.,94,7,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970/02/24 00:00:00,1970,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
398 U.S. 268,1969,Burger,UNITED STATES v. ARMOUR & CO. et al.,NA,5,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970/06/01 00:00:00,1970,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
398 U.S. 333,1969,Burger,WELSH v. UNITED STATES,78,5,3,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,4,1,NA,2,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970/06/15 00:00:00,1970,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
399 U.S. 222,1969,Burger,PERKINS v. STANDARD OIL CO. OF CALIFORNIA,NA,8,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970/06/23 00:00:00,1970,Yes,No,Yes,P,None,Individual,Company,p1,None,No,NA
399 U.S. 267,1969,Burger,UNITED STATES v. SISSON,91,5,3,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970/06/29 00:00:00,1970,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
401 U.S. 302,1970,Burger,"RAMSEY et al., DBA LEON NUNLEY COAL CO., et al. v. UNITED MINE WORKERS OF AMERICA",95,5,4,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971/02/24 00:00:00,1971,Yes,Yes,Yes,P,None,Company,Union,p1,None,No,NA
401 U.S. 321,1970,Burger,"ZENITH RADIO CORP. v. HAZELTINE RESEARCH, INC.",95,9,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,1,NA,4,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971/02/24 00:00:00,1971,Yes,Yes,Yes,P,None,Company,Company,p1,None,Yes,NA
401 U.S. 486,1970,Burger,"UNITED MINE WORKERS OF AMERICA v. RAILING et al., DBA C & P COAL CO.",NA,7,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,7,1,NA,1,1,NA,NA,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971/03/22 00:00:00,1971,Yes,No,Yes,D,None,Union,Company,p1,None,No,NA
402 U.S. 146,1970,Burger,PEREZ v. UNITED STATES,81,8,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,2,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971/04/26 00:00:00,1971,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
