X,Type,KeyCite.Treatment,KeyCite.URL,Title,Document.URL,Court.Line,Filed.Date,Citation,Parallel.Cite,Docket.Num,year,INCLUDE FINAL?,Why,Pro-antitrust enforcement,Direct Appeal from District Court?,party1,party2,scoreType,partyDecisionFavored,Robinson-Patman Claim,Merger,Sherman 1,Sherman 2
1,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I64d9087c9c1d11d9bc61beebb95be672&rank=156&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Federal Trade Commission v. Minneapolis-Honeywell Regulator Co.,https://www.westlaw.com/Document/I64d9087c9c1d11d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CASE&rank=156&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,22-Dec-52,344 U.S. 206,73 S.Ct. 245,11,1952,No,The initial question in this case is one of jurisdiction— whether the petition for certiorari was filed within the period allowed by law.[1] We hold that it was not.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I0a46aad49bf011d991d0cc6b54f12d4d&rank=26&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,U.S. v. W. T. Grant Co.,https://www.westlaw.com/Document/I0a46aad49bf011d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=26&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,25-May-53,345 U.S. 629,73 S.Ct. 894,532,1953,Yes,"For the first time since the enactment of the Clayton Act in 1914 the Court is called upon to consider § 8's prohibitions against interlocking corporate directorates.[1] The Government appeals from judgments dismissing civil actions brought against Hancock and three pairs of corporations which he served as a director, W. T. Grant Co. and S. H. Kress & Co., Sears Roebuck & Co. and Bond Stores, Inc., and Kroger Co. and Jewel Tea Co., Inc. Alleging that the size and competitive relationship of each set of companies brought the interlocks within the reach of § 8, the complaints asked the court to order the particular interlocks terminated and to enjoin future violations of § 8 by the individual and corporate defendants. Soon after the complaints were filed, Hancock resigned from the boards of Kress, Kroger and Bond. Disclosing the resignations by affidavit, all of the defendants then moved to dismiss the actions as moot. Treated as motions for summary judgment,[2] they were granted by the District Judge. He concluded that there is not ""the 631*631 slightest threat that the defendants will attempt any future activity in violation of Section 8 [if they have violated it already] . . . ."" 112 F. Supp. 336, 338. The Government brought this direct appeal under § 2 of the Expediting Act, 32 Stat. 823, as amended, 62 Stat. 989, 15 U. S. C. (Supp. V) § 29, contending that the cases were not rendered moot by Hancock's resignations and that it was an abuse of discretion for the trial court to refuse any injunctive relief.
Supreme Court concludes the case was not Moot because the parties could revive the interlocking agreement. Still, it also concludes that there was no abuse of discretion in denying injunctive relief because the illegality of the conduct was far from settled. ",No,Yes,Government,Company,govCase,p2,No,No,No,No
3,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I222310d29bf011d993e6d35cc61aab4a&rank=83&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Moore v. Mead's Fine Bread Company,https://www.westlaw.com/Document/I222310d29bf011d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=83&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,6-Dec-54,348 U.S. 115,75 S.Ct. 148,121,1954,Yes,"Section 2(a) of the Clayton Act Claim. Petitioner was engaged in the backery business at Santa Rosa, New Mexico, none of his activities being interstate in character. Respondent is a corporation in the baking business at Clovis, New Mexico. It is one of several corporations having interlocking ownership and managements, all in the Mead family and associates. These corporations maintain plants at Lubbock and Big Spring, Texas, and at Hobbs, Roswell, and Clovis, New Mexico. they all market their bread under the name ""Mead's Fine Bread"" and promote the product through a common advertising program. These corporations purchase their flour and bread wrappers as a unit. Respondent sells bread in Farwell, Texas, a town which it serves with a bread truck operating out of Clovis, New Mexico. For some months, petitioner and respondent were in competition in Santa Rosa. There is evidence that, on the threat of petitioner to move his backery to another town, the local Santa Rosa merchants agreed to purchase petitioner's products exclusively. Respondent, labeling that action a boycott, cut the wholesale price of bread in Santa Rosa from 14 cents to 7 for a pound loaf and from 21 cents to 11 cents for a pound-and-a-half loaf. The Mead companies did not cut the prices of bread in any other town; and respondent did not cut its prices of bread in Farwell, Texas. The price war continued from September 1948 to April 1949, and as a result petitioner was forced to close his business. The jury found for petitioner; the Court of Appeals reversed, 208 F. 2d 777; and we granted certiorari.

The Court judges that Sections 2(a) and 3 of the Clayton Act are clearly impacted, as Respondent is engaged in commerce, selling bread both locally and interstate. In the course of such business, it made price discriminations, maintaining the price in the interstate transactions and cutting the price in the intrastate sales. The destruction of a competitor was plainly established, as required by the amended § 2 (a) of the Clayton Act; and the evidence to support a finding of purpose to eliminate a competitor, as required by § 3 of the Robinson-Patman Act, was ample. District Court said no interstate commerce was impacted. Court affirms that while the victim is local, the injurer is engaged in interstate commerce so the Federal Jurisdiction applies. Other ""As long as the price warfare was strictly intrastate, interstate business could grow and expand with impunity at the expense of local merchants. The competitive advantage would then be with the interstate combines, not by reason of their skills or efficiency but because of their strength and ability to wage price wars""",Yes,No,Smaller Company,Bigger Company,plb,p1,Yes,No,No,No
4,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I3edd14819bf111d991d0cc6b54f12d4d&rank=225&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,U.S. v. Green,https://www.westlaw.com/Document/I3edd14819bf111d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=225&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,26-Mar-56,350 U.S. 415,76 S.Ct. 522,54,1956,No,Racketeering Case,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,Cases,,,Federal Trade Com'n v. National Lead Co.,https://www.westlaw.com/Document/I1d274d5e9c9711d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=175&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,25-Feb-57,352 U.S. 419,77 S.Ct. 502,63,1957,Yes,"The sole question involved in this proceeding under § 5 of the Federal Trade Commission Act[1] concerns the power of the Commission in framing an order pursuant to its finding that respondents had conspired to adopt and use a zone delivered pricing system in their sale of lead pigments.[2] In its general cease and desist order prohibiting concert of action among respondents in the further use of such system, the Commission inserted a provision directing each respondent individually to cease and desist from adopting the same or a similar system of pricing for the purpose or with the effect of ""matching"" the prices of competitors. The respondents assert that this is beyond the power of the Commission, and the Court of Appeals agreed, 227 F. 2d 825, striking that provision from the Commission's order. We granted certiorari, 351 U. S. 961. because of the importance of the question in the administration of the Act. We restore the stricken provision of the Commission order, permitting it to stand with the interpretations placed upon it in this opinion.
Lead delivery companies agreed to charge uniform prices dividing the country in zones. Commission charged them with violation of antitrust laws and forbade them from adopting similar ""planned zones"" system. Supreme Court affirms the order was legal because it was temporary and limited to the zone delivery pricing system that was found to be illegal and does not include a general per se prohibition of zone delivery--only when it led to identical prices between competitors. In addition, ""The Court has held that the Commission is clothed with wide discretion in determining the type of order that is necessary to bring an end to the unfair practices found to exist. In Jacob Siegel Co. v. Federal Trade Commission, 327 U. S. 608 (1946),""",Yes,No,Government,Company,govCase,p1,No,No,No,No
6,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I177eb7889c1f11d993e6d35cc61aab4a&rank=345&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,State of Cal. v. Taylor,https://www.westlaw.com/Document/I177eb7889c1f11d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=345&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,3-Jun-57,353 U.S. 553,77 S.Ct. 1037,385,1957,No,"The question presented here is whether the Railway Labor Act of May 20, 1926, 44 Stat. 577, as amended. 45 U. S. C. § 151 et seq., applies to the State Belt Railroad, a common carrier owned and operated by the State of California and engaged in interstate commerce. For the reasons hereafter stated, we hold that it does.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Id4c7aa679c1d11d991d0cc6b54f12d4d&rank=395&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Textile Workers Union of America v. Lincoln Mills of Ala.,https://www.westlaw.com/Document/Id4c7aa679c1d11d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=395&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,3-Jun-57,353 U.S. 448,77 S.Ct. 923 (Mem),"211, 262, 276",1957,No,Discusses the legality of mandatory arbitration clauses in labor disputes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,Cases,,,Safeway Stores v. Vance,https://www.westlaw.com/Document/I0a3df8399bf011d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=88&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,20-Jan-58,355 U.S. 389,78 S.Ct. 358,69,1958,No,Parallel case to case of the same name already in the databse. ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,Cases,,,Moog Industries v. Federal Trade Commission,https://www.westlaw.com/Document/I1d2726519c9711d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=104&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,27-Jan-58,355 U.S. 411,78 S.Ct. 377,"110, 77",1958,Yes,"The general question presented by these two cases is whether it is within the scope of the reviewing authority of a Court of Appeals to postpone the operation of a valid cease and desist order of the Federal Trade Commission against a single firm until similar orders have been entered against that firm's competitors. In proceedings arising out of alleged violations of the price discrimination provisions of the Clayton Act, § 2, 38 Stat. 730, as amended by the Robinson-Patman Act, 49 Stat. 1526, 15 U. S. C. § 13, two Courts of Appeals reached opposed results on this underlying issue. In order to resolve the conflict we granted certiorari,
In No. 77, petitioner (Moog Industries, Inc.) was found by the Commission to have violated the Act and was ordered to cease and desist from further violation. 51 F. T. C. 931. Petitioner sought review in the United States Court of Appeals for the Eighth Circuit. Upon affirmance of the order, 238 F. 2d 43, petitioner moved the court to hold the entry of judgment in abeyance on the ground that petitioner would suffer serious financial loss if prohibited from engaging in pricing practices open to its competitors. The court denied the requested relief.

Thus, the decision as to whether or not an order against one firm to cease and desist from engaging in illegal price discrimination should go into effect before others are similarly prohibited depends on a variety of factors peculiarly within the expert understanding of the Commission. Only the Commission, for example, is competent to make an initial determination as to whether and to what extent there is a relevant ""industry"" within which the particular respondent competes and whether or not the nature of that competition is such as to indicate identical treatment of the entire industry by an enforcement agency. 
",Yes,No,Company,Government,govCase,p2,Yes,No,No,No
10,Cases,Red KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I236da3479c1e11d9bdd1cfdd544ca3a4&rank=182&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Green v. U.S.,https://www.westlaw.com/Document/I236da3479c1e11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CASE&rank=182&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,31-Mar-58,356 U.S. 165,78 S.Ct. 632,100,1958,No,Criminal contempt case involving the violent overthrown of Government,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
