X,Type,KeyCite.Treatment,KeyCite.URL,Title,Document.URL,Court.Line,Filed.Date,Citation,Parallel.Cite,Docket.Num,year,INCLUDE FINAL?,Why,Pro-antitrust enforcement,Direct Appeal from District Court?,party1,party2,scoreType,partyDecisionFavored,Robinson-Patman Claim,Merger,Sherman 1,Sherman 2
48,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I988b8cc19c1c11d9bc61beebb95be672&rank=80&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Besser Mfg. Co. v. U.S.,https://www.westlaw.com/Document/I988b8cc19c1c11d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CASE&rank=80&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,26-May-52,343 U.S. 444,72 S.Ct. 838,230,1952,Yes,Companies manufactured concrete block-making machines. Government sues for Section 2 and Section 4 violations related to the monopolization of the interstate concrete machine making market by monopolizing patent licenses. Appeal the order to issue patent licenses under a fair and reasonable rate and allow current lessees to acquire machinery. Supreme Court says remedies are fair and traditional and that trial judge has discretion to impose remedies.,Yes,Yes,Company,Government,govCase,p2,No,No,No,Yes
56,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I237d0c969c1e11d9bdd1cfdd544ca3a4&rank=96&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,U.S. v. Oregon State Medical Soc.,https://www.westlaw.com/Document/I237d0c969c1e11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CASE&rank=96&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,28-Apr-52,343 U.S. 326,72 S.Ct. 690,19,1952,Yes,Involves insurance contracts that are associated with panels of doctors that formed a non-profit to provide medical services (cooperate on a fee basis or that associate themselves on a full or part-time basis).  Government sues such organizations under Sections 1 and 2 of the Sherman Act. District Court says there is no evidence and dismisses. Government appeals. Supreme Court dismissess appeal as a matter of fact and that there is no concerted refusal to deal or division of geographical markets by part of the non-profit.,Yes,Yes,Government,Company,govCase,p2,No,No,Yes,Yes
64,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I265cca339bed11d9bdd1cfdd544ca3a4&rank=108&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"U.S. v. New Wrinkle, Inc.",https://www.westlaw.com/Document/I265cca339bed11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CASE&rank=108&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,4-Feb-52,342 U.S. 371,72 S.Ct. 350,250,1952,Yes,Section 1 lawsuits as conspiration to fix minimum prices in all of the wrinkle finish industry by means of patent license agreements that established minimum prices for the licensees of the patent. District Court dismissed the Complaints and Government appealled. Supreme Court reverses and says that a patent does not grant the owner a clear power to violate antitrust laws and that it was clear that there was an impact on interstate commerce.,Yes,Yes,Government,Company,govCase,p1,No,No,Yes,No
68,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I237d33a79c1e11d9bdd1cfdd544ca3a4&rank=113&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Far East Conference v. U.S.,https://www.westlaw.com/Document/I237d33a79c1e11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CASE&rank=113&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,10-Mar-52,342 U.S. 570,72 S.Ct. 492,"15, MISC.",1952,Yes,"Na approved association of shipping companies, that has been approved by the US Shipping Board, agreeed to minimum prices and others (two level freight rates). US sues for Section 1 and 2 violation. District Court dismisses because should have first gone to the Administrative body. Supreme Court confirms that it should be gone first to the Board.",No,Yes,Association,Government,govCase,p1,No,No,yes,yes
109,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I0a44d61b9bf011d991d0cc6b54f12d4d&rank=177&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Hughes v. U.S.,https://www.westlaw.com/Document/I0a44d61b9bf011d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=177&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,4-Feb-52,342 U.S. 353,72 S.Ct. 306,86,1952,Yes,"Connectd to the Paramount Pictures case, which ordered movie exhibiting companies from distribution companies. District company then ordered the divestiture and Hughes and government entered a consent decree, hughes did not comply, government ordered the sale within 2 years and Hughes appealled as unreasonable. Supreme Court agrees that such a order would constitute a change in the consent decree.",No,Yes,Company,Government,govCase,p1,No,No,Yes,Yes
231,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icea298209c9611d993e6d35cc61aab4a&rank=405&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Federal Trade Commission v. Ruberoid Co.,https://www.westlaw.com/Document/Icea298209c9611d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=405&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,26-May-52,343 U.S. 470,72 S.Ct. 800,"448, 504",1952,Yes,Discussing whether a company that was one of the largest manufacturerrs of asphalt and asbestos roofing materials would price-discriminate customers in violation of the Robinson-Patman Act. FTC ordered the company to stop the price discrimination. Court of appeals affirmed the condemnation but modified part of the order. Both parties appeal. Supreme Court confirms the Circuit Court Ruling,Yes,No,Government,Company,govCase,p1,Yes,No,No,No
1,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Iab90f3609bf011d991d0cc6b54f12d4d&rank=1&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Times-Picayune Pub. Co. v. U.S.,https://www.westlaw.com/Document/Iab90f3609bf011d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=1&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,25-May-53,345 U.S. 594,73 S.Ct. 872,"374, 375",1953,Yes,Discusses a tying case where buyers of advertisement had to buy advertising slots in both the morning and evening newspapers of the main publisher in New Orleans. US sues as violation of Section 1 and Section 2 of the Sherman Act. District Court enjoins the joint-acquisition of the ads. Supreme Court says there is no tying because the products and the market are the same (so there is no leverage). Also says that there is no evidence that the contractual restrictions negatively handcapped its main competitor. Reverses for lack of evidence of actual anticompetitive effects,No,Yes,Company,Government,govCase,p1,No,No,Yes,Yes
103,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I2215ca569bf011d993e6d35cc61aab4a&rank=167&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"Toolson v. New York Yankees, Inc.",https://www.westlaw.com/Document/I2215ca569bf011d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=167&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,9-Nov-53,346 U.S. 356,74 S.Ct. 78,"18, 23, 25",1953,Yes,"Discussess again whether baseball is exempt from antitrust laws because it is not interstrade trade or commerce. Supreme Court reaffirms the exemption, says it is something for legislation to correct. This case discussess reverse clauses in contracts that prevent players from freely moving around",No,No,Individual,Company,plb,p2,No,No,Yes,Yes
128,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icea2981a9c9611d993e6d35cc61aab4a&rank=204&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Federal Trade Commission v. Motion Picture Advertising Service Co.,https://www.westlaw.com/Document/Icea2981a9c9611d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=204&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,2-Feb-53,344 U.S. 392,73 S.Ct. 361,75,1953,Yes,"MPA had exclusive contracts with 40% of cinemas in areas where it operates, and together the three major companies had exclusivity over advertising films in almost 75% of cinemas. FTC sues for unfair methods of competition under Section 5 of the FTC act, claiming the exclusivity was enabling it to monopolize the film distribution business. Remedy limits exclusivity contracts to one year. Circuit court reversed. Supreme Court sides with the FTC, saying there is ample evidence of impact on the market and that the appropriate duration of the exclusivity contract is for the FTC to decide.",Yes,No,Government,Company,govCase,p1,No,No,No,No
374,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icea271149c9611d993e6d35cc61aab4a&rank=615&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Automatic Canteen Co. of America v. Federal Trade Commission,https://www.westlaw.com/Document/Icea271149c9611d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=615&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,8-Jun-53,346 U.S. 61,73 S.Ct. 1017,89,1953,Yes,"Robinson-Patman claim by the FTC, accusing a large candy manufacturer and seller in the US of charging different prices among purchasers. FTC says it does not need to consider cost, which is the real discussing here: whether plaintiffs must also prove differences in prices given differences in costs. Circuit Court agrees. Court reverses, saying that sellers can use cost justifications as justifications to differences in prices that otherwise would have been illegal, so that simply showing difference in prices is not enough to establish a prima facie case.",No,No,Company,Government,govCase,p1,Yes,No,No,No
